STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|BENCHMARK|DATABASE|SCALE_FACTOR|FILE_FORMAT|TABLE
1438965071|1438965101|30000|2015/08/07:16:31:11|2015/08/07:16:31:41|0h 0m 30s|tpch|tpch_orc_2sf|2|orc|part
1438965198|1438965229|31000|2015/08/07:16:33:18|2015/08/07:16:33:49|0h 0m 31s|tpch|tpch_orc_2sf|2|orc|part
1438965242|1438965272|30000|2015/08/07:16:34:02|2015/08/07:16:34:32|0h 0m 30s|tpch|tpch_orc_2sf|2|orc|partsupp
1438965286|1438965311|25000|2015/08/07:16:34:46|2015/08/07:16:35:11|0h 0m 25s|tpch|tpch_orc_2sf|2|orc|supplier
1438965326|1438965355|29000|2015/08/07:16:35:26|2015/08/07:16:35:55|0h 0m 29s|tpch|tpch_orc_2sf|2|orc|customer
1438965368|1438965405|37000|2015/08/07:16:36:08|2015/08/07:16:36:45|0h 0m 37s|tpch|tpch_orc_2sf|2|orc|orders
1438965418|1438965508|90000|2015/08/07:16:36:58|2015/08/07:16:38:28|0h 1m 30s|tpch|tpch_orc_2sf|2|orc|lineitem
1438965521|1438965548|27000|2015/08/07:16:38:41|2015/08/07:16:39:08|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|nation
1438965563|1438965589|26000|2015/08/07:16:39:23|2015/08/07:16:39:49|0h 0m 26s|tpch|tpch_orc_2sf|2|orc|region
1438966244|1438966271|27000|2015/08/07:16:50:44|2015/08/07:16:51:11|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|part
1438966287|1438966316|29000|2015/08/07:16:51:27|2015/08/07:16:51:56|0h 0m 29s|tpch|tpch_orc_2sf|2|orc|partsupp
1438966329|1438966357|28000|2015/08/07:16:52:09|2015/08/07:16:52:37|0h 0m 28s|tpch|tpch_orc_2sf|2|orc|supplier
1438966370|1438966397|27000|2015/08/07:16:52:50|2015/08/07:16:53:17|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|customer
1438966412|1438966448|36000|2015/08/07:16:53:32|2015/08/07:16:54:08|0h 0m 36s|tpch|tpch_orc_2sf|2|orc|orders
1438966463|1438966551|88000|2015/08/07:16:54:23|2015/08/07:16:55:51|0h 1m 28s|tpch|tpch_orc_2sf|2|orc|lineitem
1438966564|1438966591|27000|2015/08/07:16:56:04|2015/08/07:16:56:31|0h 0m 27s|tpch|tpch_orc_2sf|2|orc|nation
1438966604|1438966630|26000|2015/08/07:16:56:44|2015/08/07:16:57:10|0h 0m 26s|tpch|tpch_orc_2sf|2|orc|region
1450360309|1450360368|59000|2015/12/17:13:51:49|2015/12/17:13:52:48|0h 0m 59s|tpch|tpch_orc_2sf|2|orc|part
1450360394|1450360452|58000|2015/12/17:13:53:14|2015/12/17:13:54:12|0h 0m 58s|tpch|tpch_orc_2sf|2|orc|partsupp
1450360490|1450360540|50000|2015/12/17:13:54:50|2015/12/17:13:55:40|0h 0m 50s|tpch|tpch_orc_2sf|2|orc|supplier
1450360569|1450360622|53000|2015/12/17:13:56:09|2015/12/17:13:57:02|0h 0m 53s|tpch|tpch_orc_2sf|2|orc|customer
1450360654|1450360748|94000|2015/12/17:13:57:34|2015/12/17:13:59:08|0h 1m 34s|tpch|tpch_orc_2sf|2|orc|orders
1450360788|1450360990|202000|2015/12/17:13:59:48|2015/12/17:14:03:10|0h 3m 22s|tpch|tpch_orc_2sf|2|orc|lineitem
1450361027|1450361083|56000|2015/12/17:14:03:47|2015/12/17:14:04:43|0h 0m 56s|tpch|tpch_orc_2sf|2|orc|nation
1450361109|1450361165|56000|2015/12/17:14:05:09|2015/12/17:14:06:05|0h 0m 56s|tpch|tpch_orc_2sf|2|orc|region
1453289147|1453289217|70000|2016/01/20:11:25:47|2016/01/20:11:26:57|0h 1m 10s|tpch|tpch_orc_2sf|2|orc|part
1453289265|1453289318|53000|2016/01/20:11:27:45|2016/01/20:11:28:38|0h 0m 53s|tpch|tpch_orc_2sf|2|orc|partsupp
1453289355|1453289403|48000|2016/01/20:11:29:15|2016/01/20:11:30:03|0h 0m 48s|tpch|tpch_orc_2sf|2|orc|supplier
1453289429|1453289521|92000|2016/01/20:11:30:29|2016/01/20:11:32:01|0h 1m 32s|tpch|tpch_orc_2sf|2|orc|customer
1453289584|1453289733|149000|2016/01/20:11:33:04|2016/01/20:11:35:33|0h 2m 29s|tpch|tpch_orc_2sf|2|orc|orders
1453289767|1453289964|197000|2016/01/20:11:36:07|2016/01/20:11:39:24|0h 3m 17s|tpch|tpch_orc_2sf|2|orc|lineitem
1453289994|1453290033|39000|2016/01/20:11:39:54|2016/01/20:11:40:33|0h 0m 39s|tpch|tpch_orc_2sf|2|orc|nation
1453290067|1453290113|46000|2016/01/20:11:41:07|2016/01/20:11:41:53|0h 0m 46s|tpch|tpch_orc_2sf|2|orc|region
1453291238|1453291339|101000|2016/01/20:12:00:38|2016/01/20:12:02:19|0h 1m 41s|tpch|tpch_orc_2sf|2|orc|part
1453291373|1453291477|104000|2016/01/20:12:02:53|2016/01/20:12:04:37|0h 1m 44s|tpch|tpch_orc_2sf|2|orc|partsupp
1453291534|1453291738|204000|2016/01/20:12:05:34|2016/01/20:12:08:58|0h 3m 24s|tpch|tpch_orc_2sf|2|orc|supplier
1453291864|1453292002|138000|2016/01/20:12:11:04|2016/01/20:12:13:22|0h 2m 18s|tpch|tpch_orc_2sf|2|orc|customer
1453292049|1453292127|78000|2016/01/20:12:14:09|2016/01/20:12:15:27|0h 1m 18s|tpch|tpch_orc_2sf|2|orc|orders
1453296019|1453296073|54000|2016/01/20:13:20:19|2016/01/20:13:21:13|0h 0m 54s|tpch|tpch_orc_2sf|2|orc|part
1453296103|1453296163|60000|2016/01/20:13:21:43|2016/01/20:13:22:43|0h 1m 0s|tpch|tpch_orc_2sf|2|orc|partsupp
1453296199|1453296245|46000|2016/01/20:13:23:19|2016/01/20:13:24:05|0h 0m 46s|tpch|tpch_orc_2sf|2|orc|supplier
1453296273|1453296327|54000|2016/01/20:13:24:33|2016/01/20:13:25:27|0h 0m 54s|tpch|tpch_orc_2sf|2|orc|customer
1453296362|1453296427|65000|2016/01/20:13:26:02|2016/01/20:13:27:07|0h 1m 5s|tpch|tpch_orc_2sf|2|orc|orders
1453296455|1453296613|158000|2016/01/20:13:27:35|2016/01/20:13:30:13|0h 2m 38s|tpch|tpch_orc_2sf|2|orc|lineitem
1453296640|1453296684|44000|2016/01/20:13:30:40|2016/01/20:13:31:24|0h 0m 44s|tpch|tpch_orc_2sf|2|orc|nation
1453296711|1453296751|40000|2016/01/20:13:31:51|2016/01/20:13:32:31|0h 0m 40s|tpch|tpch_orc_2sf|2|orc|region
1453299160|1453299216|56000|2016/01/20:14:12:40|2016/01/20:14:13:36|0h 0m 56s|tpch|tpch_orc_2sf|2|orc|part
1453299254|1453299315|61000|2016/01/20:14:14:14|2016/01/20:14:15:15|0h 1m 1s|tpch|tpch_orc_2sf|2|orc|partsupp
1453299346|1453299393|47000|2016/01/20:14:15:46|2016/01/20:14:16:33|0h 0m 47s|tpch|tpch_orc_2sf|2|orc|supplier
1453299424|1453299473|49000|2016/01/20:14:17:04|2016/01/20:14:17:53|0h 0m 49s|tpch|tpch_orc_2sf|2|orc|customer
1453299505|1453299569|64000|2016/01/20:14:18:25|2016/01/20:14:19:29|0h 1m 4s|tpch|tpch_orc_2sf|2|orc|orders
1453299606|1453299798|192000|2016/01/20:14:20:06|2016/01/20:14:23:18|0h 3m 12s|tpch|tpch_orc_2sf|2|orc|lineitem
1453299828|1453299873|45000|2016/01/20:14:23:48|2016/01/20:14:24:33|0h 0m 45s|tpch|tpch_orc_2sf|2|orc|nation
1453299906|1453299944|38000|2016/01/20:14:25:06|2016/01/20:14:25:44|0h 0m 38s|tpch|tpch_orc_2sf|2|orc|region
1453882644|1453882744|100000|2016/01/27:08:17:24|2016/01/27:08:19:04|0h 1m 40s|tpch|tpch_Avro_2sf|2|Avro|part
1453882786|1453882900|114000|2016/01/27:08:19:46|2016/01/27:08:21:40|0h 1m 54s|tpch|tpch_Avro_2sf|2|Avro|partsupp
1453882946|1453883028|82000|2016/01/27:08:22:26|2016/01/27:08:23:48|0h 1m 22s|tpch|tpch_Avro_2sf|2|Avro|supplier
1453883073|1453883181|108000|2016/01/27:08:24:33|2016/01/27:08:26:21|0h 1m 48s|tpch|tpch_Avro_2sf|2|Avro|customer
