STARTDATE_EPOCH|STOPDATE_EPOCH|DURATION_MS|STARTDATE|STOPDATE|DURATION|BENCHMARK|DATABASE|SCALE_FACTOR|ENGINE|FILE_FORMAT|QUERY
1441362318|1441362399|81000|2015/09/04:10:25:18|2015/09/04:10:26:39|0h 1m 21s|tpch|tpch_orc_2sf|2|hive|orc|Query 1
1441362399|1441362526|127000|2015/09/04:10:26:39|2015/09/04:10:28:46|0h 2m 7s|tpch|tpch_orc_2sf|2|hive|orc|Query 2
1441362526|1441362639|113000|2015/09/04:10:28:46|2015/09/04:10:30:39|0h 1m 53s|tpch|tpch_orc_2sf|2|hive|orc|Query 3
1450361236|1450361381|145000|2015/12/17:14:07:16|2015/12/17:14:09:41|0h 2m 25s|tpch|tpch_orc_2sf|2|hive|orc|Query 1
1450361381|1450361624|243000|2015/12/17:14:09:41|2015/12/17:14:13:44|0h 4m 3s|tpch|tpch_orc_2sf|2|hive|orc|Query 2
1450361624|1450361840|216000|2015/12/17:14:13:44|2015/12/17:14:17:20|0h 3m 36s|tpch|tpch_orc_2sf|2|hive|orc|Query 3
1450361840|1450362035|195000|2015/12/17:14:17:20|2015/12/17:14:20:35|0h 3m 15s|tpch|tpch_orc_2sf|2|hive|orc|Query 4
1450362035|1450362647|612000|2015/12/17:14:20:35|2015/12/17:14:30:47|0h 10m 12s|tpch|tpch_orc_2sf|2|hive|orc|Query 5
1450362647|1450362727|80000|2015/12/17:14:30:47|2015/12/17:14:32:07|0h 1m 20s|tpch|tpch_orc_2sf|2|hive|orc|Query 6
1450362727|1450363182|455000|2015/12/17:14:32:07|2015/12/17:14:39:42|0h 7m 35s|tpch|tpch_orc_2sf|2|hive|orc|Query 7
1450363182|1450363446|264000|2015/12/17:14:39:42|2015/12/17:14:44:06|0h 4m 24s|tpch|tpch_orc_2sf|2|hive|orc|Query 8
1450363447|1450364061|614000|2015/12/17:14:44:07|2015/12/17:14:54:21|0h 10m 14s|tpch|tpch_orc_2sf|2|hive|orc|Query 9
1450364061|1450364418|357000|2015/12/17:14:54:21|2015/12/17:15:00:18|0h 5m 57s|tpch|tpch_orc_2sf|2|hive|orc|Query 10
1450364418|1450364677|259000|2015/12/17:15:00:18|2015/12/17:15:04:37|0h 4m 19s|tpch|tpch_orc_2sf|2|hive|orc|Query 11
1450364677|1450364897|220000|2015/12/17:15:04:37|2015/12/17:15:08:17|0h 3m 40s|tpch|tpch_orc_2sf|2|hive|orc|Query 12
1450364898|1450365110|212000|2015/12/17:15:08:18|2015/12/17:15:11:50|0h 3m 32s|tpch|tpch_orc_2sf|2|hive|orc|Query 13
1450365110|1450365379|269000|2015/12/17:15:11:50|2015/12/17:15:16:19|0h 4m 29s|tpch|tpch_orc_2sf|2|hive|orc|Query 14
1450365379|1450365703|324000|2015/12/17:15:16:19|2015/12/17:15:21:43|0h 5m 24s|tpch|tpch_orc_2sf|2|hive|orc|Query 15
1450365703|1450365912|209000|2015/12/17:15:21:43|2015/12/17:15:25:12|0h 3m 29s|tpch|tpch_orc_2sf|2|hive|orc|Query 16
1450365912|1450366222|310000|2015/12/17:15:25:12|2015/12/17:15:30:22|0h 5m 10s|tpch|tpch_orc_2sf|2|hive|orc|Query 17
1450366222|1450366691|469000|2015/12/17:15:30:22|2015/12/17:15:38:11|0h 7m 49s|tpch|tpch_orc_2sf|2|hive|orc|Query 18
1450366691|1450366749|58000|2015/12/17:15:38:11|2015/12/17:15:39:09|0h 0m 58s|tpch|tpch_orc_2sf|2|hive|orc|Query 19
1450366749|1450366964|215000|2015/12/17:15:39:09|2015/12/17:15:42:44|0h 3m 35s|tpch|tpch_orc_2sf|2|hive|orc|Query 20
1450366964|1450367585|621000|2015/12/17:15:42:44|2015/12/17:15:53:05|0h 10m 21s|tpch|tpch_orc_2sf|2|hive|orc|Query 21
1450367585|1450367855|270000|2015/12/17:15:53:05|2015/12/17:15:57:35|0h 4m 30s|tpch|tpch_orc_2sf|2|hive|orc|Query 22
1453287792|1453287861|69000|2016/01/20:11:03:12|2016/01/20:11:04:21|0h 1m 9s|tpch|tpch_orc_2sf|2|pig|orc|Query 1
1453287861|1453288067|206000|2016/01/20:11:04:21|2016/01/20:11:07:47|0h 3m 26s|tpch|tpch_orc_2sf|2|pig|orc|Query 2
1453288067|1453288092|25000|2016/01/20:11:07:47|2016/01/20:11:08:12|0h 0m 25s|tpch|tpch_orc_2sf|2|pig|orc|Query 3
1453288092|1453288139|47000|2016/01/20:11:08:12|2016/01/20:11:08:59|0h 0m 47s|tpch|tpch_orc_2sf|2|pig|orc|Query 4
1453288139|1453288212|73000|2016/01/20:11:08:59|2016/01/20:11:10:12|0h 1m 13s|tpch|tpch_orc_2sf|2|pig|orc|Query 5
1453288212|1453288260|48000|2016/01/20:11:10:12|2016/01/20:11:11:00|0h 0m 48s|tpch|tpch_orc_2sf|2|pig|orc|Query 6
1453288261|1453288306|45000|2016/01/20:11:11:00|2016/01/20:11:11:46|0h 0m 45s|tpch|tpch_orc_2sf|2|pig|orc|Query 7
1453288306|1453288351|45000|2016/01/20:11:11:46|2016/01/20:11:12:31|0h 0m 45s|tpch|tpch_orc_2sf|2|pig|orc|Query 8
1453288351|1453288415|64000|2016/01/20:11:12:31|2016/01/20:11:13:35|0h 1m 4s|tpch|tpch_orc_2sf|2|pig|orc|Query 9
1453288415|1453288458|43000|2016/01/20:11:13:35|2016/01/20:11:14:18|0h 0m 43s|tpch|tpch_orc_2sf|2|pig|orc|Query 10
